region,variety,method,score
west nile,Bourbon,Natural / Dry,83.75
yauco region,Other,Washed / Wet,83.75
huila,Caturra,Washed / Wet,83.75
huila,Other,Washed / Wet,83.75
huila,Caturra,Washed / Wet,83.75
huila,Caturra,Washed / Wet,83.75
kona,Hawaiian Kona,Natural / Dry,83.75
"huazalingo, hidalgo",Caturra,Natural / Dry,83.75
quetzaltenango,Caturra,Washed / Wet,83.75
south of minas,Bourbon,Natural / Dry,83.67
meru county,SL28,Washed / Wet,83.67
comayagua,Caturra,Washed / Wet,83.67
jinotega,Caturra,Washed / Wet,83.67
south of minas,Bourbon,Natural / Dry,83.67
"leye, alishan township, chiayi county",Caturra,Natural / Dry,83.67
huila,Caturra,Washed / Wet,83.67
huehuetenango,Bourbon,Washed / Wet,83.67
huila supremo,Caturra,Washed / Wet,83.67
huila,Caturra,Washed / Wet,83.67
oriente,Bourbon,Washed / Wet,83.67
oriente,Bourbon,Washed / Wet,83.67
huila,Caturra,Washed / Wet,83.67
oriente,Caturra,Natural / Dry,83.67
oriente,Bourbon,Washed / Wet,83.67
xicotepec de juarez,Typica,Washed / Wet,83.67
east java,Typica,Washed / Wet,83.67
"sacatepequez, guatemala",Caturra,Washed / Wet,83.67
south of minas,Bourbon,Natural / Dry,83.58
huehuetenango,Caturra,Washed / Wet,83.58
huila,Caturra,Washed / Wet,83.58
yunnan,Catimor,Washed / Wet,83.58
huila,Caturra,Washed / Wet,83.58
"chiapas, jaltenango",Caturra,Washed / Wet,83.58
yirgacheffe,Other,Washed / Wet,83.58
eastern,SL14,Washed / Wet,83.58
cundinamarca,Caturra,Natural / Dry,83.58
santander,Caturra,Washed / Wet,83.58
santander,Caturra,Washed / Wet,83.58
taichung xinshe å°ä¸­å¸‚æ–°ç¤¾å€,Typica,Other,83.58
huila,Caturra,Washed / Wet,83.58
xalapa,Typica,Washed / Wet,83.58
cundinamarca,Caturra,Natural / Dry,83.58
south of minas,Catuai,Semi-washed / Semi-pulped,83.58
cundinamarca,Caturra,Washed / Wet,83.5
tarrazu,Caturra,Washed / Wet,83.5
pitalito,Caturra,Natural / Dry,83.5
oriente,Bourbon,Washed / Wet,83.5
huila,Caturra,Washed / Wet,83.5
nkure- meru,Ruiru 11,Washed / Wet,83.5
bener meriah,Sumatra,Semi-washed / Semi-pulped,83.5
huila,Caturra,Washed / Wet,83.5
atitlan,Caturra,Washed / Wet,83.5
cundinamarca,Caturra,Washed / Wet,83.5
comayagua,Caturra,Natural / Dry,83.5
huila,Caturra,Washed / Wet,83.5
huila,Caturra,Washed / Wet,83.5
xalapa,Bourbon,Natural / Dry,83.5
chilÃ³n,Typica,Semi-washed / Semi-pulped,83.5
totutla,Pacamara,Washed / Wet,83.5
atitlan,Caturra,Washed / Wet,83.5
huila,Caturra,Washed / Wet,83.5
oriente,Bourbon,Washed / Wet,83.5
huila,Caturra,Washed / Wet,83.42
san marcos,Bourbon,Washed / Wet,83.42
huila,Caturra,Washed / Wet,83.42
tarrazu,Caturra,Washed / Wet,83.42
eastern,SL14,Washed / Wet,83.42
thailand,Catimor,Washed / Wet,83.42
apaneca,Bourbon,Washed / Wet,83.42
huila,Caturra,Natural / Dry,83.42
vale da grama,Yellow Bourbon,Semi-washed / Semi-pulped,83.42
karatu northern,Bourbon,Washed / Wet,83.42
huila,Caturra,Washed / Wet,83.42
oriente,Bourbon,Natural / Dry,83.42
antigua,Caturra,Washed / Wet,83.42
oriente,Bourbon,Washed / Wet,83.42
